,class
08b21ea3-97a1-4d6e-b5c9-fc40276be0cb,Field
093504d7-d04e-4ecd-8b40-c564abc46b9c,Farm
0948d100-1ead-491a-9630-e1f3253d1725,Field
095b6fb9-6351-4050-8104-e526493863fc,Farm
0965df42-65ac-4f14-bf1c-4a2d3fa62427,Farm
097f860c-d40b-4f70-b43a-5ba6d7b78c31,Field
0a1105ce-ee86-48ed-b7e7-e89723eebbdf,Field
0a33eb2d-a73e-462a-a900-b3bcb76b1651,Field
0a564e77-5eb8-4987-9f1c-50100452bd8b,Field
0a980134-6221-4404-a3be-f9b5034a2333,Other
0ab1110f-70e0-4b77-b74d-6b95757e5f2e,Farm
0af5742f-be6b-4071-96a5-8946bff54a4c,Farm
0b31e388-cba4-45c0-9219-430716b3ce5c,Other
0c0f84d4-b5d3-4793-a381-e6deb1d216c3,Tree
0c6d8ecc-5b09-4973-bbd5-e08d5effa6e7,Other
0c9e771c-ecae-4c3d-97a5-14bb77ef58be,Field
0c9efc1a-62bc-4734-ac50-29baf9954afe,Field
0ca1754b-0f76-43ed-b126-e0468be73de7,Field
0ca264ba-4a7b-4363-8b1d-aacae197ff41,Farm
0cb2ee7d-36b0-46a5-980b-30620de3067d,Field
0ce94eef-eb02-4c63-85b5-95f8594df783,Farm
0d280ffd-937a-4f34-bbf8-263dd3fea0bb,Farm
0d49c4cb-3d74-4103-a720-330f2c874b68,Farm
0d56b2b9-e8b1-482b-8117-0104b8e3c536,Other
0d694f90-e1fc-46f0-a125-64898b7c57fc,Other
0d736a32-7d6b-4356-a0dc-25909de4f351,Field
0d9164e7-e1ac-4e8b-b258-a469c96e2be9,Farm
0db0fd41-da61-426d-ba2d-02c0d2a49816,Farm
0dc4d001-015c-4948-9f24-b603cb0a03a7,Tree
0dcf2e01-38ce-42c8-bb00-7fd9d98782c3,Farm
0e3e81cd-bdd8-4ef3-9008-a71bfc6701f1,Farm
0e46cdf7-4307-407b-a282-db1aa494242d,Farm
0e4b324e-e5fd-4d9a-8c47-aae133837585,Field
0e6f5489-b7c6-4fc6-a841-2a36ded57705,Tree
0e728e5c-c92b-43a1-98d7-4dbdceb4bc73,Field
0e784923-f3ef-4365-ae3b-3c0ddb1e32e1,Tree
0e882fd2-ab7b-4945-a14a-c5f132a76e6d,Field
0e8f47e8-d9fe-4d3d-a8ad-3f5c689abc51,Field
0e982d54-0082-4009-86f3-aa24a154c6f8,Field
0e9af8a2-f25c-46ad-8e5e-e5faf483504a,Farm
0e9c7213-1976-4d56-bf38-576296c0827b,Tree
0ea43813-3b46-44d2-9c15-b0bc3cef8b73,Farm
0ea60216-aa34-46f9-9201-9276acc8b7e9,Farm
0edd62ae-5f10-4924-80b4-0f7750beb55e,Tree
0f0ca69e-3eac-41b6-916f-6dfe58b964eb,Field
0f11989a-e876-4f61-9865-142f49427043,Other
0f5ebb10-534d-4325-b8c8-00f3cb64f676,Farm
0f7708cb-3ae1-454a-b456-26816997844f,Field
0f8765ca-b961-40a3-8487-7e18af53b3c0,Field
0fae901a-9fdb-47e9-8883-b12d1fc0e035,Tree
0fc5e157-a3b9-4985-9c0b-be98e5aa1832,Farm
1001118f-1d61-474b-8073-d4e0ca15a084,Tree
100f4bb5-d971-4bb1-9407-d27274c63bda,Farm
103adc08-664c-4176-97b8-1ad85d25b5fe,Farm
1057a27e-5667-48e8-bd5d-1947622a177a,Other
105d73e0-2ed2-41ab-b9c0-991fb64911ac,Other
1063fa80-ae06-486f-b811-63713c032b5e,Field
108a1d16-e456-4425-8951-c3e27793a8bf,Field
10b52656-1973-46f9-a56b-c588160c00c1,Tree
10d860de-e4bc-4d14-bac2-4d673679e7aa,Tree
1105df6a-63cd-4aa0-8876-fffdbdf7ffa5,Farm
11189400-af03-4cfa-a6c6-343dbaa31757,Farm
1124210a-fcd1-41fa-b651-5cd9d24e71d5,Farm
112ec5dd-4803-4f4d-8080-2c8057c4c05e,Tree
1156b42f-0db9-482e-ac92-50ca7b5d1b51,Tree
1177153d-4955-4e2f-a64a-c372a2ab1fe7,Field
120839f9-e892-46bc-80bd-79d0194a1459,Field
120e4992-ca6c-4286-801e-81df30c894d9,Field
12263060-0a90-439e-893a-59e0046e39d5,Other
12263573-172c-4e66-93c5-c6a13a717fda,Other
12368ce0-b9b3-4e08-90c2-75868fe88410,Farm
127fc6a6-b501-4825-86d4-6537e7c7256b,Field
12918590-cb4e-490d-8f58-52d61a31a722,Other
12b95cff-8002-474a-a490-659a6b8ce0c9,Farm
12e724bd-7d88-4fe9-bc59-fab007ccc22c,Farm
12f02d85-06fd-4f5a-a134-91dfaf662648,Field
12fec991-3d59-4e21-b28b-44cebd78dfd6,Other
1313e7f7-1436-41a9-9b50-734ac0270e9c,Other
1326b447-486d-4302-9204-134ed9b25a4e,Tree
136d1144-b1b2-4aaf-b279-a98061b32d2f,Tree
13887f7f-e38e-4573-bd19-525e43daa55e,Field
13bfd397-8e00-411c-99b5-db8339111b3e,Farm
13e18b9b-1e55-4b6f-9a98-a322667e755c,Tree
14221354-6dcc-4eef-8b7e-f83b9a11c73f,Tree
14469f93-0e78-4b53-a52c-182f430328b9,Tree
145307d6-e45a-49d2-8636-af8a0dcd5c35,Farm
147222b0-7eaf-4297-955e-434853cb4604,Field
1483f115-5f59-4e50-8bdd-da77eeec6dde,Field
14854de1-86b4-42b5-8a8e-a22bb62b9363,Field
14a3dc2d-bbcc-47b5-be28-44de7a579d2d,Field
14b89562-417e-46fe-b2c3-2aad6e63b504,Farm
14c932a3-e1e1-43a1-b7a6-38920ddbb3c4,Other
14cd9235-8540-446f-9bd7-0f8fb712d03a,Farm
14d4ecf5-f4b0-45c7-8333-f530d6dddc02,Farm
14f7a7e8-f865-4bb6-8bdc-4cb05dfe1f8c,Farm
15335665-580b-40de-9291-f01ace96a1ec,Field
15b672ff-38b9-4108-beef-b4f212753ff7,Field
15b9b07d-4733-440c-b215-f4515f8ba977,Farm
15bc57b8-e4ad-480e-98e7-776f8064426c,Farm
15c233ca-c7c1-464e-9009-e67dee285082,Farm
15f7a7d5-3515-4270-ac60-d8d8e267cce6,Tree
162d2562-8b45-4f4e-b2f4-0769b15931d6,Other
1672dd1a-b264-470c-baff-351dd7b85307,Tree
1677e311-773e-436a-b9ff-23abb4140707,Field
167eb39a-fdc5-4186-bb0c-2e85f6268b02,Field
16838131-2a6c-4483-a363-16a824026e18,Farm
16858bbe-c0dc-455c-9477-e0754cf61972,Farm
168cb31d-d716-4823-8040-837293e26c7d,Farm
169485e5-ac79-47c0-8980-9306a1ce5216,Field
169f042b-d6f2-499d-a321-2401a6ac071e,Field
16d42089-c71a-49a4-8f2b-dd90b896df1a,Farm
16e8f09b-c3a4-4716-876f-b6b64681339d,Farm
175babe1-5751-4cb8-b6b3-b5c15afcb57d,Other
17a545c0-4392-4a19-a361-036027c0d186,Farm
17d9cd09-3cdb-4744-9454-9b44d6eed1bc,Farm
17e9afc1-ee89-4867-bd93-5a423fe2cd26,Field
1813356b-9b3e-49a4-a551-76c58e84cf7b,Tree
1890792d-2d4d-4d1b-81ab-df31fd3f2d40,Field
18917c3f-be65-435a-82af-8d221728e3c6,Tree
189d5e11-bda3-49a6-a32f-066a37418e74,Field
18bc9e96-7f44-4412-b310-9add74127986,Farm
18dbb59e-d239-44e0-93d4-fc78049e27d6,Farm
