,class
000dc1bb-dbd4-4052-97f4-567f22eeab89,Tree
0025e47c-218e-42e7-aef7-cf749490876e,Farm
002e7744-ce49-40b9-9022-365162f95a49,Farm
003be886-e6bb-4533-b89e-ebb8be4e02cc,Farm
00559828-8e90-49e2-8fb8-be1bceb4af4d,Farm
0065fccf-bbde-453a-8b74-835065a585f1,Field
00ddcea3-2f5a-47c0-a69c-a12e94aee04f,Farm
00de2b21-fd7f-4ee1-b64a-bde1bcf20882,Tree
00eaaaea-56bf-48d2-abae-388fced7be16,Field
00eb0d6b-0035-46c8-8ffe-ebe2db6fe5bf,Farm
00f26196-5e9b-4b0f-8f58-8c5e96977a88,Farm
01090a9f-1e52-4a1d-bb6d-74256ebe92c7,Tree
010921eb-dae7-431b-8124-913ccddadb26,Farm
010952b7-0337-4d03-90d8-38ee960f13f8,Farm
013bd0cb-b997-486c-93cf-195c93e6f4b9,Farm
014ec945-93e9-4c6b-a9e0-aa98317c1afe,Farm
018cbe74-150e-406d-bf6d-9f10882ec36b,Other
0193aecc-4b75-41da-afc5-e78b33b81f90,Farm
01983854-8bd1-41b4-9353-3921a4c304bd,Field
01b80ec2-cc05-4104-9427-f3a87b40d93f,Field
01cf0c28-0173-4981-b5b8-7f6733ba6f91,Farm
01f5b4a3-7dcc-4851-a8d1-f9c4e7b032a6,Farm
02005b61-1ba4-430e-8efe-8350bd627c04,Farm
02051156-98c8-4e84-9205-cb4a906bb34f,Field
022c88d4-829e-46f5-a888-6723fecc28c6,Field
023ae6f1-8f26-4166-a233-59d45b99dde9,Tree
023d3cbc-3bc6-4598-8e7b-fedab0f12056,Tree
029c844f-764f-4b2d-9d0a-db42ce3a722d,Field
02d30afd-62bb-49dc-997e-db4aa40422fb,Field
0302f34e-4422-497a-bacd-ff81ef0eeaeb,Farm
030ec52b-565b-4c3c-842a-a8dcb5ab9ae7,Farm
033c2010-e7eb-425b-a551-0886ca6d231a,Farm
039e7544-7a82-4477-a0d6-32342d5b352d,Field
03a1ecf4-e445-4c97-8ff9-c594b7b2aeb0,Field
03b3bfd5-452f-47f3-9ee7-f6e834eb0266,Field
03bda5ff-b684-46c0-8ed8-16e9d5bd1ea8,Farm
03dfdcc0-a3e0-48cf-a5ad-6ff92f9709b1,Farm
041471de-9fd1-4d67-a2b4-a1766b2a3d3c,Farm
044b2c81-5225-4cb2-9f00-f05e5b57e63d,Farm
044ba058-a625-45a1-83ba-a0c13d63670a,Other
04701b4e-db75-4d4d-981d-5b2e45e3667b,Field
0476d19e-7d59-4826-8d70-f3bb4c57b2c7,Field
047a8069-9099-49a2-b98b-3f2c83b2b065,Field
050358c0-b32b-44da-8e49-5ed58811a8c5,Farm
054c083f-11a1-4f11-9b5d-9abe636764a0,Tree
0558140e-fd89-482f-9812-c42dfa82c7eb,Field
05923909-cb1c-49b0-bf13-1f2c0879f64b,Tree
05a279e8-bc7b-40d6-b960-9886538e97e6,Farm
05fcd3d2-a5b4-4673-b37b-06cad6f9b5b3,Field
060d1513-d1bf-4454-8f43-d3a2b621f272,Tree
060fec05-4dc9-43f4-8159-1e7ec631aa60,Field
0631c900-41b9-45e1-8c84-219fc0fc2c08,Tree
066dfa2c-afe2-47c9-88d6-8cacc1a9bf21,Farm
0698e624-af4d-4a39-90a6-b933f43305d9,Tree
06a362b5-55d7-43db-ab17-5f76aa8a0688,Field
06f46f58-35ff-4ccf-b977-c0de6a75dd4e,Farm
07039c06-452f-400f-ae58-87187975a6e4,Tree
0713d0d4-7525-42b5-89a4-284e516682ba,Tree
07410481-e02e-4cf7-ae5e-181b7be3359c,Field
076ac0f4-26a5-4489-bf5f-20293d9b9e84,Field
077456da-8a0f-4d30-8426-ee128bc3abbb,Field
07ad15c0-5f70-40e5-bd8f-0311e1ca5a2d,Farm
07b00beb-2e37-49f3-8556-943ec07e2d45,Tree
07bee3e8-5147-4173-9d76-84ac9a6dd10d,Farm
07e02dff-9db2-4530-95ce-ad77915314b0,Tree
0861b2ad-4387-4125-8df1-f55faf179c26,Farm
086743b0-3840-4dd6-b6e7-41b1b0f5876f,Farm
0867c8a0-885c-46cd-b0ce-9534c46b2a2a,Tree
0887210b-869e-4037-892b-110a0331ca24,Tree
089ad678-738a-4a7e-bd9b-702d69518a12,Field
08e41278-601a-462e-9520-b565ddcea17f,Farm
08f456da-08f0-43d4-a7d4-7959eed3b98f,Field
093aafea-2012-48f7-9c21-df2face93ba1,Farm
095ea347-8e75-4c68-a26b-439f9ffd9102,Field
098d9ab7-4eb9-4b25-9f71-0c4d2b6aad37,Field
0a101835-9f51-4a5a-bb1c-5179f2dc974a,Field
0a17848d-46ba-4783-8409-3c1849988ba4,Farm
0a26400f-3b71-4fec-b5e1-ef8f8cf103e6,Farm
0a265fc8-e256-48cd-a79e-f79f0bdedf2e,Other
0a494aa9-f71e-4802-9ad8-364384a0115a,Field
0a6a9449-6613-43bb-a69d-7832d0ebe5a6,Field
0a911d25-82d7-4d15-8ed0-ac5c72c278b5,Farm
0adc3920-10a3-4092-a2b5-23e07dda1a13,Farm
0b1d0793-3ba9-401a-a592-dff36be4c8a5,Farm
0b387d25-9a8f-4755-83f2-1943a925cb5b,Farm
0b50b185-9428-4ce9-9149-60acad6165fd,Field
0b77d17f-005f-46d8-bdab-b91f13654f1f,Farm
0b7a05d2-e0cb-4b91-9ea7-ae064c82cbcd,Tree
0b80c214-b464-45c4-86be-1bf36802ac9e,Farm
0b865b74-6655-4ab7-b0d9-8a31ed9395e5,Field
0b87d7ee-d6a4-4324-ae06-8788ad674067,Field
0b9806ef-bc88-45fe-87c6-c6c5365d1cd7,Farm
0bc80737-b0f3-44e4-9caa-911b078026eb,Other
0bcd857a-b28c-467c-a33c-35540745e8fb,Farm
0bd81e7c-14e6-42b9-b4aa-aed86931f61c,Other
0bde7bef-09f7-4308-9f72-8f12eac5707c,Farm
0c15d4d2-51e6-4d57-8128-42d22f912bd1,Other
0c281b77-6fc0-46e9-a331-2c1481d95912,Field
0c6d3ed2-b9c3-4940-9581-9395021f1701,Field
0cac1ceb-7e36-4cdd-a970-92daa63bc6c3,Tree
0cfe0175-9a57-4e76-b219-a6383ffb0220,Tree
0d0943c6-6e2c-4042-bf49-b48511c3d851,Tree
0d24fc49-1178-4334-8587-c7dafe5898e4,Tree
0d2e6ac3-afd3-49c9-81cd-378f27316a98,Field
