,class
5a690a7a-8c02-468a-a3de-f76412afc30d,Farm
5a6c38b2-7b0d-4b38-96bd-38163e8fd68e,Farm
5a6fec89-f06b-41f7-a52a-e6c2240045e0,Farm
5a8a91be-4d4f-4646-a3ae-706c398b3c92,Field
5ad5fa2e-300a-4bd8-9f7e-af010d4e9c8b,Farm
5af6cdb7-fe02-446b-bd55-84b64097074d,Field
5afcd11b-7cf5-4604-b1e4-9bd51e8ecbc7,Other
5b01cbe4-f2d3-4d9f-8d99-d8d17d8f4dae,Farm
5b0e800e-14c4-4d50-b594-465d5e89dcaa,Field
5b20c23e-b4e4-4da6-a733-a69b99524683,Other
5b26a476-7436-4f8e-99ac-3385072ce9cc,Farm
5b329d99-d37b-4c53-9d72-78b040534fb9,Farm
5b3b45e2-9b98-41be-8ab9-b988404fabbf,Field
5b7774c3-5c8f-4939-8651-a25e45c205c5,Field
5b7c1e02-7e2d-4566-8835-c744aed1899f,Farm
5b83c535-70b5-4f78-b68a-4eafe0819d42,Farm
5b9e853a-b35d-4fd8-8b39-4cbeef772cf6,Farm
5ba840c7-05b7-4219-991e-fab6473f3512,Other
5bf71ece-5e5d-4a7e-be11-3ae017930266,Field
5c075266-51f4-4258-b4c1-f26836609172,Field
5c10594e-2e94-48a5-8588-f1326d3139fd,Farm
5c25b27e-f3e8-46d6-bf56-2cb156ee5569,Farm
5c311f6a-a238-49c1-88ae-c66db34ab18a,Farm
5c529f7f-9edb-421e-931a-8c62732c967e,Farm
5c57a559-9570-4301-88b2-f66155af3b1e,Other
5c8ff99e-9580-412e-a285-1969ded470e9,Field
5c992121-27c9-45e8-9ed5-b62145f9e154,Farm
5d1521e3-cd2b-46cf-b4fe-f1b4e8aa370f,Other
5d815613-7e16-48a6-a9c8-8ffaf3383d5d,Field
5e064920-bf8a-466d-8938-10dc851e1464,Field
5e2a7324-387b-4647-846d-c857c469e5e7,Field
5e2ef41c-dc3e-4f6f-8a49-260ebfe64bbc,Other
5e5b2dc5-e509-496e-a9f5-285d2d135695,Farm
